id,description,description_cleaned,source,page
Nepal_Polytechnic_Civil_p99_l12,cement mortar 1:5 (1 cement : 5 fine sand) including 500x450mm precast R.C.C.horizontal grating with frame complete as per standard design:,cement mortar 1 5 1 cement 5 fine sand including 500x450mm precast r.c.c.horizontal grating with frame complete as per standard design,Nepal_Polytechnic_Civil,99
Nepal_Polytechnic_Civil_p99_l13,a) With FPS bricks (1st Class) Each 145,with fps bricks 1st class each 145,Nepal_Polytechnic_Civil,99
Nepal_Polytechnic_Civil_p99_l16,38Providing and laying non pressure NP2class (light duty) RCC pipes with collars jointed,38providing and laying non pressure np2class light duty reinforced cement concrete pipes with collars jointed,Nepal_Polytechnic_Civil,99
Nepal_Polytechnic_Civil_p99_l19,a) 200mm dia RCC pipe Metre 770,200mm diameter reinforced cement concrete pipe metre 770,Nepal_Polytechnic_Civil,99
Nepal_Polytechnic_Civil_p99_l20,b) 400mm dia RCC pipe Metre 180,400mm diameter reinforced cement concrete pipe metre 180,Nepal_Polytechnic_Civil,99
Nepal_Polytechnic_Civil_p99_l22,39 Rain Water Harvestin gSUBHEAD-IV-(A) : DRAINAGE,39 rain water harvestin gsubhead iv drainage,Nepal_Polytechnic_Civil,99
Nepal_Polytechnic_Civil_p100_l0,39.1Providing all material & constructing brick masonary recharge pit of 4.0m dia x 4.0 m,39.1providing all material constructing brick masonary recharge pit of 4.0m diameter 4.0 meter,Nepal_Polytechnic_Civil,100
Nepal_Polytechnic_Civil_p100_l1,"depth (Eff. depth) with brick work in cement mortar 1:4 ( 1 cement : 4 coarse sand) with100mm dia weep holes at side walls @ 500 mm vertically & horizontally center to center,200 mm thick RCC top slab in cement concrete (1:2:4 ) along with periferial & two nos.of intermediate RCC beams of size 250 x 450mm R/ F of slab 12 mm tor steel at bottomand 10 mm at topwith a spacing of 125 mm c/c, 4 nos 16 mm tor steel bars at bottom &2 nos. 12 mm tor steel bars at top for beams with 8 mm stirrups @ 150 mm c/c, 2 nos.heavy duty SFRC cover of 560 mm dia,poly propelene coated rungs @ 300 mm c/cembeded in CC ( 1 : 2 : 4 ) blocks of 200 x 200 x 200 mm, 150 mm thick PCC in 1: 4 : 8below footing with 150 mm projection, internal & external plaster in CM 1 : 4, necessaryexcavation, backfilling & disposal of surplus earth upto a lead of 50m complete in allrespect including drilling percolation Bore Hole of 300/250 mm dia upto 50 mgeneratingthe softening plant. The brine tank shall have overflow & drain, outlet fitting completeregeneration assembly comprising of power valve, ejector, brine suction valve andall associated pipe work. A density meter for brine shall be included. consumables and each 13",depth eff. depth with brick work in cement mortar 1 4 1 cement 4 coarse sand with100mm diameter weep holes at side walls 500 millimeter vertically horizontally center to center 200 millimeter thick reinforced cement concrete top slab in cement concrete 1 2 4 along with periferial two numberof intermediate reinforced cement concrete beams of size 250 450mm of slab 12 millimeter tor steel at bottomand 10 millimeter at topwith spacing of 125 millimeter 4 nos 16 millimeter tor steel bars at bottom 2 number 12 millimeter tor steel bars at top for beams with 8 millimeter stirrups 150 millimeter 2 numberheavy duty sfrc cover of 560 millimeter diameter poly propelene coated rungs 300 millimeter cembeded in cc 1 2 4 blocks of 200 200 200 millimeter 150 millimeter thick plain cement concrete in 1 4 8below footing with 150 millimeter projection internal external plaster in centimeter 1 4 necessaryexcavation backfilling disposal of surplus earth upto lead of 50m complete in allrespect including drilling percolation bore hole of 300 250 millimeter diameter upto 50 mgeneratingthe softening plant. the brine tank shall have overflow drain outlet fitting completeregeneration assembly comprising of power valve ejector brine suction valve andall associated pipe work. density meter for brine shall be included. consumables and each 13,Nepal_Polytechnic_Civil,100
Nepal_Polytechnic_Civil_p100_l4,40.1Providing and constructing brick masonry desilting chamber of size 200x150xupto300,40.1providing and constructing brick masonry desilting chamber of size 200x150xupto300,Nepal_Polytechnic_Civil,100
Nepal_Polytechnic_Civil_p100_l5,"cms effective depth inside with 75 class designation brick work 345mm/230mm thick incement mortar 1:4 (1cement:4 coarse sand) with weep holes all around , SFRC coverheavy duty 560mm dia and 150 mm thick R.C.C. top slab 1:2:4 mix(1 Cement : 2coarse sand : 4 graded stone aggregate 20mm nominal size) including necessaryexcavation, back filling, disposal of surplus earth as directed, foundation concrete 1:5:10mix (1 cement : 5 fine sand : 10 graded stone aggregate 40mm nominal size) belowmasonry walls with 150mm projection at either side including necessary baffle wallinside(as per std. drawing) , excavation,back filling and disposal of surplus earth upto alead of 200 mtr., poly propelene coated rungs @ 300 mm c/c. each 13",cms effective depth inside with 75 class designation brick work 345mm 230mm thick incement mortar 1 4 1cement 4 coarse sand with weep holes all around sfrc coverheavy duty 560mm diameter and 150 millimeter thick r.c.c. top slab 1 2 4 mix 1 cement 2coarse sand 4 graded stone aggregate 20mm nominal size including necessaryexcavation back filling disposal of surplus earth as directed foundation concrete 1 5 10mix 1 cement 5 fine sand 10 graded stone aggregate 40mm nominal size belowmasonry walls with 150mm projection at either side including necessary baffle wallinside as per std. drawing excavation back filling and disposal of surplus earth upto alead of 200 meter. poly propelene coated rungs 300 millimeter c. each 13,Nepal_Polytechnic_Civil,100
